amplitude_deg,T_small_s,T_firstcorr_s,T_measured_s,smallangle_error_pct,firstcorr_error_pct
10,2.006067,2.009886,2.009893,0.190719,0.000332
20,2.006067,2.021344,2.021451,0.766903,0.005318
30,2.006067,2.040440,2.040990,1.740880,0.026938
45,2.006067,2.083407,2.086256,3.997334,0.136561
60,2.006067,2.143560,2.152875,7.318201,0.432647
75,2.006067,2.220900,2.244706,11.895904,1.060537
90,2.006067,2.315427,2.367842,18.034060,2.213601
120,2.006067,2.556041,2.754090,37.288050,7.191072
150,2.006067,2.865402,3.535098,76.220373,18.944205
