code,label,definition,approx_species_count_2023
LC,least_concern,wide_distribution_and_abundant,80000
NT,near_threatened,close_to_qualifying_for_VU,7500
VU,vulnerable,facing_high_risk_in_the_wild,16000
EN,endangered,facing_very_high_risk_in_the_wild,9500
CR,critically_endangered,facing_extremely_high_risk_in_the_wild,9500
EW,extinct_in_the_wild,survives_only_in_cultivation_or_captivity,90
EX,extinct,no_reasonable_doubt_last_individual_died,900
DD,data_deficient,inadequate_information_for_assessment,16500
NE,not_evaluated,has_not_yet_been_assessed,1800000
