n,shell_eps001,shell_eps005,shell_eps010,ball_cube_analytical,ball_cube_monte_carlo
2,0.01990000000000003,0.09750000000000003,0.18999999999999995,0.7853981633974484,0.78594
3,0.029700999999999977,0.1426250000000001,0.2709999999999999,0.5235987755982988,0.52274
5,0.04900995010000009,0.22621906250000023,0.40950999999999993,0.16449340668482268,0.16394
10,0.09561792499119559,0.4012630607616213,0.6513215599,0.0024903945701927176,0.00258
20,0.18209306240276923,0.6415140775914581,0.8784233454094307,2.461136950494197e-08,0.0
50,0.39499393286246365,0.9230550247232868,0.9948462247926799,1.5367433955014645e-28,0.0
100,0.6339676587267709,0.994079470779666,0.9999734386011124,1.8681820538375426e-70,0.0
500,0.9934295169575854,0.9999999999927255,1.0,0.0,0.0
1000,0.9999568287525893,1.0,1.0,0.0,0.0
