# Common refrigerants with safety and environmental indicators.
# GWP: 100-year global-warming potential (AR5 basis), dimensionless.
# ODP: ozone-depletion potential (R-11 = 1.0). status: regulatory status
# current as of 2024 under the Montreal Protocol and Kigali Amendment.
# safety_class: ASHRAE 34 class (A1 lower toxicity/non-flammable through B2L).
name,chemical,GWP,ODP,safety_class,status
R-12,CFC-12,10900,1.0,A1,banned (ozone)
R-22,HCFC-22,1810,0.055,A1,phased out (ozone)
R-134a,HFC-134a,1430,0.0,A1,phasing down (Kigali)
R-410A,HFC blend,2088,0.0,A1,phasing down (Kigali)
R-1234yf,HFO-1234yf,4,0.0,A2L,current automotive
R-744,carbon dioxide,1,0.0,A1,natural refrigerant
R-717,ammonia,0,0.0,B2L,industrial natural
R-290,propane,3,0.0,A3,natural flammable
