# Saturated R-134a properties along the saturation line.
# Representative values for cycle exercises; verify against a current
# refrigerant table or CoolProp before load-bearing design use.
# T_C: saturation temperature (deg C)
# p_kPa: saturation pressure (kPa)
# hf_kJ_kg: saturated-liquid enthalpy (kJ/kg)
# hg_kJ_kg: saturated-vapour enthalpy (kJ/kg)
# sf_kJ_kgK: saturated-liquid entropy (kJ/kg.K)
# sg_kJ_kgK: saturated-vapour entropy (kJ/kg.K)
T_C,p_kPa,hf_kJ_kg,hg_kJ_kg,sf_kJ_kgK,sg_kJ_kgK
-20,132.7,173.7,386.6,0.9007,1.7413
-10,200.6,186.7,392.4,0.9509,1.7334
0,292.8,200.0,398.4,1.0000,1.7274
10,414.6,213.6,404.2,1.0483,1.7229
20,572.1,227.5,409.8,1.0958,1.7196
30,770.6,241.7,415.1,1.1428,1.7173
40,1017.0,256.4,419.4,1.1894,1.7155
50,1318.1,271.6,423.0,1.2358,1.7138
